Document ID,cluster_id,stakeholder_type,NIST AI RMF,NIST AI 100-1,NIST SP 800-*,EU AI Act,EO 14110,EO 14141,OMB M-*,ISO/IEC 42001,ISO/IEC 23894,MITRE ATLAS,OWASP,C2PA
NIST-2025-0035-0030,28,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0290,280,LawFirmOrConsultancy,1,1,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0291,281,Other,1,1,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0292,282,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0293,283,Individual,1,0,0,1,0,0,0,0,0,0,1,0
NIST-2025-0035-0294,284,AIStartup,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0295,285,Other,1,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0296,286,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0297,287,AcademicOrResearchInstitute,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0298,288,StandardsOrProfessionalBody,0,1,1,1,0,0,0,0,0,0,1,0
NIST-2025-0035-0299,289,TradeAssociation,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0031,29,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0300,290,TradeAssociation,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0301,291,Individual,0,0,1,0,0,0,0,0,0,1,1,0
NIST-2025-0035-0302,292,Individual,1,0,1,0,0,0,0,0,0,1,1,0
NIST-2025-0035-0303,293,Individual,1,0,0,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0304,294,EnterpriseSoftwareOrSecurityVendor,1,0,0,1,0,0,0,0,0,0,1,0
NIST-2025-0035-0305,295,CivilSocietyNGO,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0306,296,Individual,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0307,297,TradeAssociation,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0308,298,EnterpriseSoftwareOrSecurityVendor,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0309,299,TradeAssociation,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0005,3,Individual,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0032,30,LawFirmOrConsultancy,1,0,1,1,0,0,0,0,0,1,1,0
NIST-2025-0035-0310,300,Other,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0311,301,AIStartup,1,1,0,0,0,0,0,0,0,1,1,0
NIST-2025-0035-0313,302,LargeTechCompany,1,0,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0314,303,Other,1,1,1,1,1,0,0,1,0,0,1,0
NIST-2025-0035-0315,304,Other,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0316,305,LargeTechCompany,1,0,0,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0317,306,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0318,307,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0319,308,TradeAssociation,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0320,309,TradeAssociation,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0033,31,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0321,310,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0322,311,LargeTechCompany,0,0,0,0,0,0,1,0,0,1,1,0
NIST-2025-0035-0323,312,Other,1,0,0,1,0,0,0,1,0,1,1,0
NIST-2025-0035-0324,313,AIStartup,1,0,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0325,314,AIStartup,1,1,1,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0326,315,EnterpriseSoftwareOrSecurityVendor,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0327,316,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0328,317,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0329,318,AIStartup,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0330,319,Other,1,0,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0034,32,CivilSocietyNGO,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0331,320,CivilSocietyNGO,0,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0332,321,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0333,322,AIStartup,1,0,1,1,0,0,0,0,0,1,1,0
NIST-2025-0035-0334,323,AcademicOrResearchInstitute,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0335,324,AcademicOrResearchInstitute,0,0,0,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0336,325,Other,1,0,0,0,0,0,0,1,0,0,0,0
NIST-2025-0035-0337,326,LargeTechCompany,1,0,1,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0338,327,TradeAssociation,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0339,328,AIStartup,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0340,329,CivilSocietyNGO,1,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0035,33,Individual,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0341,330,EnterpriseSoftwareOrSecurityVendor,1,0,0,0,0,0,0,1,0,1,1,0
NIST-2025-0035-0342,331,CivilSocietyNGO,0,0,1,0,0,0,0,0,0,1,1,0
NIST-2025-0035-0343,332,Other,0,0,0,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0344,333,LargeTechCompany,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0345,334,Other,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0346,335,CivilSocietyNGO,1,0,1,0,0,0,0,0,0,1,1,0
NIST-2025-0035-0347,336,TradeAssociation,0,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0349,337,TradeAssociation,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0350,338,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0351,339,LawFirmOrConsultancy,1,0,0,1,0,0,0,0,0,1,1,0
NIST-2025-0035-0036,34,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0352,340,Individual,0,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0353,341,TradeAssociation,1,0,1,0,0,0,0,0,0,1,0,0
NIST-2025-0035-0354,342,Individual,1,1,0,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0355,343,LargeTechCompany,1,0,0,0,0,0,0,1,0,0,1,0
NIST-2025-0035-0356,344,EnterpriseSoftwareOrSecurityVendor,1,0,0,0,0,0,0,0,0,1,1,0
NIST-2025-0035-0357,345,LargeTechCompany,1,1,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0358,346,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0359,347,Other,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0360,348,EnterpriseSoftwareOrSecurityVendor,0,0,0,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0361,349,EnterpriseSoftwareOrSecurityVendor,1,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0037,35,Other,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0362,350,CivilSocietyNGO,1,0,1,1,0,0,0,1,0,0,0,0
NIST-2025-0035-0363,351,Individual,1,1,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0364,352,LargeTechCompany,0,0,1,0,0,0,1,0,0,0,0,0
NIST-2025-0035-0365,353,Individual,1,1,1,0,0,0,0,0,0,1,1,0
